country_id,country
1,United States
2,South Africa
4,India
5,Ghana
6,Burkina Faso
7,United Kingdom
8,Germany
9,Ethiopia
10,Czech Republic
11,Mexico
12,Turkey
13,Australia
14,France
15,Finland
16,China
17,Canada
18,Japan
19,Nigeria
20,Spain
21,Belgium
22,South Korea
23,Singapore
24,Italy
25,Romania
26,Argentina
27,Venezuela
28,Hong Kong
29,Russia
30,Ireland
31,Nepal
32,New Zealand
33,Brazil
34,Greece
35,Jordan
36,Colombia
37,Switzerland
38,Israel
39,Taiwan
40,Bulgaria
41,Algeria
42,Poland
43,Saudi Arabia
44,Thailand
45,Indonesia
46,Egypt
47,Denmark
48,Kuwait
49,Netherlands
50,Malaysia
51,Vietnam
52,Hungary
53,Sweden
54,Lebanon
55,Syria
56,Philippines
57,Iceland
58,United Arab Emirates
59,Norway
60,Qatar
61,Mauritius
62,Austria
63,Cameroon
64,Palestine
65,Uruguay
66,"United Kingdom,"
67,Kenya
68,Chile
69,Luxembourg
70,Cambodia
71,Bangladesh
72,Portugal
73,Cayman Islands
74,Senegal
75,Serbia
76,Malta
77,Namibia
78,Angola
79,Peru
80,Mozambique
81,"Cambodia,"
82,Belarus
83,Zimbabwe
84,Puerto Rico
85,Pakistan
86,Cyprus
87,Guatemala
88,Iraq
89,Malawi
90,Paraguay
91,Croatia
92,Iran
93,West Germany
94,"United States,"
95,Albania
96,Georgia
97,Soviet Union
98,Morocco
99,Slovakia
100,Ukraine
101,Bermuda
102,Ecuador
103,Armenia
104,Mongolia
105,Bahamas
106,Sri Lanka
107,Latvia
108,Liechtenstein
109,Cuba
110,Nicaragua
111,"Poland,"
112,Slovenia
113,Dominican Republic
114,Samoa
115,Azerbaijan
116,Botswana
117,Vatican City
118,Jamaica
119,Kazakhstan
120,Lithuania
121,Afghanistan
122,Somalia
123,Sudan
124,Panama
125,Uganda
126,East Germany
127,Montenegro
